"","s_name","numwait"
"1","Supplier#000000445",16
"2","Supplier#000000825",16
"3","Supplier#000000709",15
"4","Supplier#000000762",15
"5","Supplier#000000357",14
"6","Supplier#000000399",14
"7","Supplier#000000496",14
"8","Supplier#000000977",13
"9","Supplier#000000144",12
"10","Supplier#000000188",12
"11","Supplier#000000415",12
"12","Supplier#000000472",12
"13","Supplier#000000633",12
"14","Supplier#000000708",12
"15","Supplier#000000889",12
"16","Supplier#000000380",11
"17","Supplier#000000602",11
"18","Supplier#000000659",11
"19","Supplier#000000821",11
"20","Supplier#000000929",11
"21","Supplier#000000262",10
"22","Supplier#000000460",10
"23","Supplier#000000486",10
"24","Supplier#000000669",10
"25","Supplier#000000718",10
"26","Supplier#000000778",10
"27","Supplier#000000167",9
"28","Supplier#000000578",9
"29","Supplier#000000673",9
"30","Supplier#000000687",9
"31","Supplier#000000074",8
"32","Supplier#000000565",8
"33","Supplier#000000648",8
"34","Supplier#000000918",8
"35","Supplier#000000427",7
"36","Supplier#000000503",7
"37","Supplier#000000610",7
"38","Supplier#000000670",7
"39","Supplier#000000811",7
"40","Supplier#000000114",6
"41","Supplier#000000379",6
"42","Supplier#000000436",6
"43","Supplier#000000500",6
"44","Supplier#000000660",6
"45","Supplier#000000788",6
"46","Supplier#000000846",6
"47","Supplier#000000920",4
