"","p_brand","p_type","p_size","supplier_cnt"
"1","Brand#14","SMALL ANODIZED NICKEL",45,12
"2","Brand#22","SMALL BURNISHED BRASS",19,12
"3","Brand#25","PROMO POLISHED COPPER",14,12
"4","Brand#35","LARGE ANODIZED STEEL",45,12
"5","Brand#35","PROMO BRUSHED COPPER",9,12
"6","Brand#51","ECONOMY ANODIZED STEEL",9,12
"7","Brand#53","LARGE BRUSHED NICKEL",45,12
"8","Brand#11","ECONOMY POLISHED COPPER",14,8
"9","Brand#11","LARGE PLATED STEEL",23,8
"10","Brand#11","PROMO POLISHED STEEL",23,8
"11","Brand#11","STANDARD ANODIZED COPPER",9,8
"12","Brand#12","ECONOMY BURNISHED BRASS",9,8
"13","Brand#12","LARGE ANODIZED BRASS",14,8
"14","Brand#12","SMALL ANODIZED TIN",23,8
"15","Brand#12","SMALL BRUSHED NICKEL",23,8
"16","Brand#12","STANDARD ANODIZED BRASS",3,8
"17","Brand#12","STANDARD BURNISHED TIN",23,8
"18","Brand#13","ECONOMY POLISHED BRASS",9,8
"19","Brand#13","LARGE BURNISHED COPPER",45,8
"20","Brand#13","MEDIUM ANODIZED STEEL",23,8
"21","Brand#13","MEDIUM PLATED NICKEL",3,8
"22","Brand#13","PROMO BURNISHED BRASS",9,8
"23","Brand#13","PROMO POLISHED BRASS",3,8
"24","Brand#13","PROMO POLISHED TIN",36,8
"25","Brand#13","SMALL BURNISHED STEEL",23,8
"26","Brand#13","STANDARD BRUSHED STEEL",9,8
"27","Brand#14","ECONOMY BRUSHED TIN",3,8
"28","Brand#14","ECONOMY BURNISHED TIN",23,8
"29","Brand#14","PROMO BRUSHED STEEL",9,8
"30","Brand#14","PROMO PLATED TIN",45,8
"31","Brand#15","ECONOMY PLATED TIN",9,8
"32","Brand#15","STANDARD BRUSHED COPPER",14,8
"33","Brand#15","STANDARD PLATED TIN",3,8
"34","Brand#21","ECONOMY POLISHED TIN",3,8
"35","Brand#21","PROMO POLISHED COPPER",9,8
"36","Brand#21","PROMO POLISHED TIN",49,8
"37","Brand#21","SMALL POLISHED STEEL",3,8
"38","Brand#21","STANDARD PLATED BRASS",49,8
"39","Brand#21","STANDARD PLATED NICKEL",49,8
"40","Brand#22","ECONOMY ANODIZED TIN",49,8
"41","Brand#22","ECONOMY BRUSHED BRASS",14,8
"42","Brand#22","LARGE BURNISHED TIN",36,8
"43","Brand#22","MEDIUM ANODIZED STEEL",36,8
"44","Brand#22","MEDIUM PLATED STEEL",9,8
"45","Brand#22","PROMO POLISHED NICKEL",9,8
"46","Brand#22","SMALL ANODIZED STEEL",19,8
"47","Brand#22","STANDARD ANODIZED COPPER",23,8
"48","Brand#23","ECONOMY BRUSHED NICKEL",23,8
"49","Brand#23","LARGE ANODIZED BRASS",9,8
"50","Brand#23","LARGE ANODIZED STEEL",23,8
"51","Brand#23","SMALL BRUSHED COPPER",23,8
"52","Brand#23","STANDARD BRUSHED TIN",3,8
"53","Brand#23","STANDARD BURNISHED NICKEL",49,8
"54","Brand#23","STANDARD PLATED NICKEL",36,8
"55","Brand#24","ECONOMY ANODIZED BRASS",19,8
"56","Brand#24","ECONOMY POLISHED BRASS",36,8
"57","Brand#24","LARGE BURNISHED STEEL",14,8
"58","Brand#24","MEDIUM PLATED NICKEL",36,8
"59","Brand#25","ECONOMY BRUSHED STEEL",49,8
"60","Brand#25","MEDIUM BURNISHED TIN",3,8
"61","Brand#25","PROMO ANODIZED TIN",36,8
"62","Brand#25","PROMO PLATED NICKEL",3,8
"63","Brand#25","SMALL BURNISHED BRASS",3,8
"64","Brand#31","LARGE ANODIZED BRASS",3,8
"65","Brand#31","SMALL ANODIZED COPPER",3,8
"66","Brand#31","SMALL ANODIZED NICKEL",9,8
"67","Brand#31","SMALL ANODIZED STEEL",14,8
"68","Brand#32","MEDIUM ANODIZED STEEL",49,8
"69","Brand#32","MEDIUM BURNISHED COPPER",19,8
"70","Brand#32","SMALL BURNISHED STEEL",23,8
"71","Brand#32","STANDARD BURNISHED STEEL",45,8
"72","Brand#34","ECONOMY ANODIZED NICKEL",49,8
"73","Brand#34","LARGE BURNISHED TIN",49,8
"74","Brand#34","MEDIUM BURNISHED NICKEL",3,8
"75","Brand#34","PROMO ANODIZED TIN",3,8
"76","Brand#34","SMALL BRUSHED TIN",3,8
"77","Brand#34","STANDARD BURNISHED TIN",23,8
"78","Brand#35","MEDIUM BRUSHED STEEL",45,8
"79","Brand#35","PROMO BURNISHED STEEL",14,8
"80","Brand#35","SMALL BURNISHED STEEL",23,8
"81","Brand#35","SMALL POLISHED COPPER",14,8
"82","Brand#35","STANDARD PLATED COPPER",9,8
"83","Brand#41","ECONOMY BRUSHED BRASS",23,8
"84","Brand#41","LARGE BURNISHED STEEL",23,8
"85","Brand#41","PROMO BURNISHED TIN",14,8
"86","Brand#41","PROMO PLATED STEEL",36,8
"87","Brand#41","PROMO POLISHED TIN",19,8
"88","Brand#41","SMALL BURNISHED COPPER",23,8
"89","Brand#42","LARGE POLISHED TIN",14,8
"90","Brand#42","MEDIUM ANODIZED TIN",49,8
"91","Brand#42","MEDIUM BRUSHED TIN",14,8
"92","Brand#42","MEDIUM BURNISHED NICKEL",23,8
"93","Brand#42","MEDIUM PLATED COPPER",45,8
"94","Brand#42","MEDIUM PLATED TIN",45,8
"95","Brand#42","SMALL PLATED COPPER",36,8
"96","Brand#43","ECONOMY BRUSHED STEEL",45,8
"97","Brand#43","LARGE BRUSHED COPPER",19,8
"98","Brand#43","PROMO BRUSHED BRASS",36,8
"99","Brand#43","SMALL BURNISHED TIN",45,8
"100","Brand#43","SMALL PLATED COPPER",45,8
"101","Brand#44","PROMO POLISHED TIN",23,8
"102","Brand#44","SMALL POLISHED NICKEL",14,8
"103","Brand#44","SMALL POLISHED TIN",45,8
"104","Brand#44","STANDARD BURNISHED COPPER",3,8
"105","Brand#51","LARGE ANODIZED BRASS",19,8
"106","Brand#51","LARGE POLISHED COPPER",23,8
"107","Brand#51","MEDIUM ANODIZED TIN",9,8
"108","Brand#51","MEDIUM ANODIZED TIN",14,8
"109","Brand#51","MEDIUM BURNISHED NICKEL",23,8
"110","Brand#51","SMALL ANODIZED COPPER",45,8
"111","Brand#51","SMALL ANODIZED COPPER",49,8
"112","Brand#51","SMALL BRUSHED COPPER",45,8
"113","Brand#51","SMALL BRUSHED TIN",36,8
"114","Brand#51","STANDARD POLISHED TIN",3,8
"115","Brand#52","ECONOMY ANODIZED STEEL",3,8
"116","Brand#52","ECONOMY PLATED TIN",19,8
"117","Brand#52","LARGE PLATED TIN",3,8
"118","Brand#52","MEDIUM ANODIZED TIN",19,8
"119","Brand#52","MEDIUM BURNISHED COPPER",3,8
"120","Brand#52","PROMO POLISHED BRASS",23,8
"121","Brand#52","SMALL PLATED COPPER",36,8
"122","Brand#52","SMALL POLISHED NICKEL",9,8
"123","Brand#52","STANDARD POLISHED NICKEL",45,8
"124","Brand#53","ECONOMY POLISHED STEEL",45,8
"125","Brand#53","LARGE POLISHED NICKEL",3,8
"126","Brand#53","SMALL BRUSHED COPPER",14,8
"127","Brand#53","STANDARD PLATED STEEL",45,8
"128","Brand#54","ECONOMY POLISHED BRASS",49,8
"129","Brand#54","ECONOMY POLISHED TIN",23,8
"130","Brand#54","LARGE ANODIZED NICKEL",49,8
"131","Brand#54","MEDIUM BRUSHED STEEL",9,8
"132","Brand#54","SMALL BURNISHED NICKEL",14,8
"133","Brand#54","SMALL PLATED TIN",14,8
"134","Brand#54","STANDARD BURNISHED STEEL",14,8
"135","Brand#54","STANDARD PLATED BRASS",23,8
"136","Brand#55","MEDIUM BURNISHED TIN",36,8
"137","Brand#55","PROMO ANODIZED BRASS",14,8
"138","Brand#55","STANDARD BURNISHED COPPER",45,8
"139","Brand#15","STANDARD PLATED TIN",36,7
"140","Brand#23","SMALL POLISHED BRASS",49,7
"141","Brand#42","STANDARD PLATED COPPER",19,7
"142","Brand#51","LARGE POLISHED NICKEL",14,7
"143","Brand#11","ECONOMY ANODIZED BRASS",19,4
"144","Brand#11","ECONOMY ANODIZED BRASS",45,4
"145","Brand#11","ECONOMY ANODIZED NICKEL",36,4
"146","Brand#11","ECONOMY BRUSHED COPPER",3,4
"147","Brand#11","ECONOMY BRUSHED COPPER",9,4
"148","Brand#11","ECONOMY BRUSHED STEEL",9,4
"149","Brand#11","ECONOMY BRUSHED STEEL",36,4
"150","Brand#11","ECONOMY BURNISHED BRASS",36,4
"151","Brand#11","ECONOMY BURNISHED COPPER",9,4
"152","Brand#11","ECONOMY BURNISHED COPPER",49,4
"153","Brand#11","ECONOMY BURNISHED NICKEL",14,4
"154","Brand#11","ECONOMY BURNISHED NICKEL",49,4
"155","Brand#11","ECONOMY PLATED COPPER",19,4
"156","Brand#11","ECONOMY PLATED NICKEL",45,4
"157","Brand#11","ECONOMY PLATED TIN",9,4
"158","Brand#11","ECONOMY POLISHED BRASS",3,4
"159","Brand#11","ECONOMY POLISHED COPPER",3,4
"160","Brand#11","ECONOMY POLISHED COPPER",45,4
"161","Brand#11","ECONOMY POLISHED NICKEL",36,4
"162","Brand#11","ECONOMY POLISHED STEEL",23,4
"163","Brand#11","ECONOMY POLISHED TIN",14,4
"164","Brand#11","LARGE ANODIZED COPPER",23,4
"165","Brand#11","LARGE ANODIZED NICKEL",9,4
"166","Brand#11","LARGE ANODIZED STEEL",9,4
"167","Brand#11","LARGE ANODIZED TIN",45,4
"168","Brand#11","LARGE BRUSHED STEEL",19,4
"169","Brand#11","LARGE BRUSHED TIN",3,4
"170","Brand#11","LARGE BRUSHED TIN",14,4
"171","Brand#11","LARGE BURNISHED COPPER",9,4
"172","Brand#11","LARGE BURNISHED COPPER",19,4
"173","Brand#11","LARGE BURNISHED STEEL",23,4
"174","Brand#11","LARGE BURNISHED TIN",9,4
"175","Brand#11","LARGE PLATED COPPER",23,4
"176","Brand#11","LARGE PLATED TIN",9,4
"177","Brand#11","LARGE PLATED TIN",14,4
"178","Brand#11","LARGE PLATED TIN",23,4
"179","Brand#11","LARGE POLISHED NICKEL",49,4
